121,122,180
120,119,61
123,64,65
122,63,64
122,123,181
122,64,123
176,117,118
179,120,180
119,60,61
4,62,61
63,121,62
179,178,119
117,59,118
179,119,120
118,60,119
240,239,180
239,299,298
178,236,177
178,177,119
178,179,238
180,239,179
179,239,238
237,178,238
240,299,239
242,183,184
182,123,183
183,242,241
243,302,242
120,121,180
120,62,121
181,182,241
181,123,182
123,124,183
123,65,124
124,125,183
66,65,8
185,126,186
67,66,8
185,186,244
184,125,126
243,184,244
183,125,184
184,185,244
184,126,185
186,187,245
186,128,187
247,188,189
187,128,188
249,190,191
189,188,129
187,188,247
251,310,309
70,129,128
130,190,189
72,130,71
131,191,190
77,135,76
132,191,131
127,69,128
129,70,71
69,10,11
129,71,130
70,69,11
68,67,10
125,124,66
127,68,69
126,67,68
126,127,186
126,68,127
125,66,67
124,65,66
67,9,10
67,8,9
12,13,71
13,14,71
14,15,72
15,74,73
130,72,131
71,14,72
17,74,16
19,20,77
20,79,78
16,74,15
72,73,131
72,15,73
136,135,77
75,17,76
136,77,78
76,18,77
21,79,20
136,78,137
77,20,78
18,19,77
22,79,21
23,80,22
24,81,23
83,25,26
84,26,27
29,86,28
32,90,31
31,90,89
26,84,83
85,86,144
27,85,84
146,147,206
28,86,85
148,149,207
138,80,139
79,22,80
80,81,139
80,23,81
83,24,25
83,82,24
81,82,140
81,24,82
81,140,139
141,200,140
138,139,198
200,258,199
82,141,140
142,200,141
203,143,144
142,84,143
203,144,145
143,85,144
204,145,205
144,86,145
142,201,200
202,260,201
145,204,203
205,265,264
202,203,261
323,324,382
137,138,196
199,258,198
198,257,256
318,259,319
200,259,258
260,261,320
134,135,193
196,255,195
137,196,195
197,256,196
196,256,255
257,315,256
195,136,137
132,131,73
197,138,198
137,79,138
138,197,196
198,256,197
133,132,74
192,191,132
134,133,75
192,132,133
134,75,76
133,74,75
135,134,76
192,133,134
192,193,252
192,134,193
195,135,136
195,194,135
193,194,252
193,135,194
191,251,250
252,310,251
313,373,372
310,252,311
252,253,311
252,194,253
370,369,311
306,364,305
371,370,312
371,372,431
314,373,313
311,253,312
372,371,312
372,432,431
313,372,312
373,432,372
434,433,374
374,432,373
253,254,312
253,195,254
374,373,314
312,254,313
374,314,315
313,255,314
201,260,259
261,321,320
318,319,377
318,258,259
319,320,378
319,260,320
202,261,260
262,321,261
203,262,261
263,321,262
382,322,323
321,263,322
317,318,377
316,257,258
378,377,319
376,375,317
382,442,441
379,438,378
374,315,375
314,256,315
315,316,375
315,257,316
316,317,375
316,258,317
436,376,377
434,375,376
438,496,437
435,376,436
498,497,438
436,378,437
498,438,439
437,378,438
320,379,378
380,438,379
321,380,379
381,439,380
322,381,380
501,442,502
498,439,440
438,380,439
499,440,500
439,381,440
498,499,557
498,440,499
436,495,494
496,556,555
437,496,495
497,556,496
438,497,496
498,556,497
492,491,432
551,550,491
493,492,434
551,491,492
552,493,494
551,492,493
369,370,428
433,492,432
374,433,432
434,492,433
494,435,436
494,434,435
368,369,427
429,489,488
370,429,428
430,489,429
371,431,430
432,491,431
428,487,486
488,546,487
429,488,487
489,547,488
371,430,429
431,489,430
550,490,491
550,549,490
424,483,482
484,544,543
424,484,483
485,544,484
424,425,484
486,544,485
418,419,477
480,539,479
421,480,479
481,539,480
422,481,480
482,541,481
479,420,421
419,418,360
362,363,422
424,482,423
428,427,369
424,423,364
366,425,424
426,485,425
366,426,425
427,486,426
367,427,426
428,486,427
366,367,426
366,308,367
369,309,310
369,368,309
367,368,427
367,309,368
246,247,305
246,187,247
247,248,307
247,189,248
191,250,249
251,309,250
184,243,242
244,302,243
304,245,305
244,186,245
245,246,305
245,187,246
363,304,305
362,303,304
304,363,362
364,423,363
305,364,363
365,424,364
306,365,364
366,424,365
295,294,236
235,176,177
357,298,299
297,296,238
417,358,359
417,357,358
298,238,239
236,235,177
357,297,298
357,356,297
299,300,359
299,241,300
294,235,236
237,236,178
296,295,236
296,237,238
296,236,237
297,355,296
355,413,354
354,295,296
353,294,295
354,412,353
413,473,472
295,354,353
355,356,414
354,413,412
414,473,413
296,355,354
356,357,415
297,356,355
357,417,416
301,360,359
361,420,360
535,476,477
475,474,415
479,419,420
479,478,419
419,478,477
479,538,478
355,414,413
415,473,414
356,415,414
416,476,475
357,416,415
417,476,416
534,475,476
474,473,415
591,590,532
589,530,590
534,474,475
534,533,474
474,533,532
534,592,533
648,589,590
650,591,592
650,590,591
592,651,650
652,653,711
592,652,651
653,654,712
594,653,652
654,714,713
594,595,653
594,534,535
